country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PH,Philippines,,,,,2020-02-15,7.0,4.0,-1.0,1.0,6.0,0.0
PH,Philippines,,,,,2020-02-16,3.0,5.0,-2.0,-3.0,1.0,1.0
PH,Philippines,,,,,2020-02-17,-1.0,0.0,-3.0,-2.0,8.0,1.0
PH,Philippines,,,,,2020-02-18,0.0,1.0,-3.0,0.0,5.0,0.0
PH,Philippines,,,,,2020-02-19,-3.0,-3.0,-4.0,-6.0,5.0,1.0
PH,Philippines,,,,,2020-02-20,-2.0,-2.0,-5.0,-5.0,6.0,0.0
PH,Philippines,,,,,2020-02-21,-2.0,-2.0,-8.0,-6.0,8.0,1.0
PH,Philippines,,,,,2020-02-22,1.0,0.0,-1.0,-1.0,7.0,0.0
PH,Philippines,,,,,2020-02-23,-3.0,0.0,0.0,-7.0,2.0,1.0
PH,Philippines,,,,,2020-02-24,1.0,-1.0,6.0,-4.0,4.0,1.0
PH,Philippines,,,,,2020-02-25,0.0,-2.0,11.0,-18.0,-43.0,11.0
PH,Philippines,,,,,2020-02-26,-3.0,-1.0,0.0,-3.0,6.0,0.0
PH,Philippines,,,,,2020-02-27,-2.0,-1.0,-4.0,-6.0,6.0,0.0
PH,Philippines,,,,,2020-02-28,-1.0,1.0,-6.0,-6.0,8.0,0.0
PH,Philippines,,,,,2020-02-29,5.0,6.0,-1.0,0.0,9.0,0.0
PH,Philippines,,,,,2020-03-01,2.0,7.0,0.0,-5.0,5.0,1.0
PH,Philippines,,,,,2020-03-02,0.0,2.0,-2.0,-5.0,9.0,0.0
PH,Philippines,,,,,2020-03-03,1.0,2.0,-2.0,-4.0,7.0,0.0
PH,Philippines,,,,,2020-03-04,-1.0,2.0,-1.0,-7.0,6.0,1.0
PH,Philippines,,,,,2020-03-05,0.0,2.0,-3.0,-6.0,7.0,0.0
PH,Philippines,,,,,2020-03-06,-3.0,-1.0,-9.0,-8.0,8.0,1.0
PH,Philippines,,,,,2020-03-07,0.0,2.0,-1.0,-4.0,7.0,1.0
PH,Philippines,,,,,2020-03-08,-4.0,2.0,-2.0,-9.0,3.0,1.0
PH,Philippines,,,,,2020-03-09,-3.0,1.0,-1.0,-7.0,7.0,1.0
PH,Philippines,,,,,2020-03-10,-4.0,3.0,-5.0,-11.0,-4.0,3.0
PH,Philippines,,,,,2020-03-11,-8.0,5.0,-6.0,-17.0,-5.0,4.0
PH,Philippines,,,,,2020-03-12,-8.0,8.0,-8.0,-17.0,-6.0,5.0
PH,Philippines,,,,,2020-03-13,-12.0,9.0,-16.0,-17.0,-9.0,7.0
PH,Philippines,,,,,2020-03-14,-18.0,5.0,-20.0,-15.0,-6.0,6.0
PH,Philippines,,,,,2020-03-15,-40.0,-10.0,-29.0,-42.0,-10.0,11.0
PH,Philippines,,,,,2020-03-16,-34.0,-4.0,-18.0,-42.0,-31.0,15.0
PH,Philippines,,,,,2020-03-17,-57.0,-21.0,-30.0,-63.0,-55.0,24.0
PH,Philippines,,,,,2020-03-18,-66.0,-36.0,-36.0,-72.0,-62.0,28.0
PH,Philippines,,,,,2020-03-19,-69.0,-41.0,-39.0,-75.0,-65.0,30.0
PH,Philippines,,,,,2020-03-20,-73.0,-45.0,-47.0,-79.0,-66.0,33.0
PH,Philippines,,,,,2020-03-21,-75.0,-48.0,-52.0,-78.0,-57.0,27.0
PH,Philippines,,,,,2020-03-22,-79.0,-53.0,-56.0,-79.0,-50.0,24.0
PH,Philippines,,,,,2020-03-23,-75.0,-50.0,-45.0,-81.0,-69.0,33.0
PH,Philippines,,,,,2020-03-24,-76.0,-51.0,-47.0,-81.0,-71.0,33.0
PH,Philippines,,,,,2020-03-25,-76.0,-51.0,-46.0,-81.0,-72.0,34.0
PH,Philippines,,,,,2020-03-26,-76.0,-52.0,-47.0,-81.0,-72.0,34.0
PH,Philippines,,,,,2020-03-27,-77.0,-51.0,-52.0,-83.0,-72.0,37.0
PH,Philippines,,,,,2020-03-28,-78.0,-53.0,-56.0,-82.0,-62.0,30.0
PH,Philippines,,,,,2020-03-29,-81.0,-59.0,-59.0,-82.0,-54.0,26.0
PH,Philippines,,,,,2020-03-30,-79.0,-59.0,-48.0,-84.0,-73.0,35.0
PH,Philippines,,,,,2020-03-31,-79.0,-57.0,-49.0,-83.0,-74.0,35.0
PH,Philippines,,,,,2020-04-01,-79.0,-58.0,-48.0,-84.0,-74.0,35.0
PH,Philippines,,,,,2020-04-02,-80.0,-58.0,-49.0,-84.0,-74.0,36.0
PH,Philippines,,,,,2020-04-03,-80.0,-58.0,-54.0,-85.0,-73.0,39.0
PH,Philippines,,,,,2020-04-04,-80.0,-58.0,-57.0,-84.0,-63.0,31.0
PH,Philippines,,,,,2020-04-05,-82.0,-62.0,-60.0,-84.0,-54.0,26.0
PH,Philippines,,,,,2020-04-06,-78.0,-57.0,-48.0,-84.0,-72.0,35.0
PH,Philippines,,,,,2020-04-07,-77.0,-54.0,-48.0,-83.0,-74.0,35.0
PH,Philippines,,,,,2020-04-08,-76.0,-50.0,-47.0,-83.0,-74.0,34.0
PH,Philippines,,,,,2020-04-09,-85.0,-65.0,-51.0,-86.0,-80.0,38.0
PH,Philippines,,,,,2020-04-10,-90.0,-78.0,-59.0,-90.0,-82.0,43.0
PH,Philippines,,,,,2020-04-11,-82.0,-60.0,-59.0,-86.0,-67.0,32.0
PH,Philippines,,,,,2020-04-12,-82.0,-62.0,-60.0,-84.0,-55.0,26.0
PH,Philippines,,,,,2020-04-13,-76.0,-53.0,-47.0,-83.0,-71.0,35.0
PH,Philippines,,,,,2020-04-14,-76.0,-52.0,-48.0,-82.0,-73.0,35.0
PH,Philippines,,,,,2020-04-15,-76.0,-53.0,-48.0,-83.0,-72.0,35.0
PH,Philippines,,,,,2020-04-16,-77.0,-54.0,-48.0,-84.0,-72.0,36.0
PH,Philippines,,,,,2020-04-17,-79.0,-56.0,-53.0,-85.0,-71.0,39.0
PH,Philippines,,,,,2020-04-18,-81.0,-61.0,-60.0,-84.0,-62.0,30.0
